lead_id,campaign_id,company_name,domain,website,country,city,address,industry,company_description,company_type,buyer_fit_score,buyer_fit_reason,company_quality_score,buying_signal_score,total_score,score_reason,contact_name,contact_role,contact_email,email_status,phone,linkedin_or_public_profile_url,pain_signal,buying_signal,personalization_hook,source,source_url,scraped_at,outreach_ready,sequence_status,email_1_sent_at,followup_1_at,followup_2_at,reply_status
lead_2150141eef0d,retail-isb-001,RBS Interiors,rbsinteriors.com,https://rbsinteriors.com/,Pakistan,Islamabad,"Malik Plaza, Main Golra Rd, near Railway Road, opposite CMT, H-13",overture=furniture_store,Explore top-quality Office furniture including office chairs bedroom furniture & Restaurant Furniture custom kitchen & door designs in Pakistan.,BUYER,65,"discovery category 'overture=furniture_store' matches campaign target; buyer terms in company identity: furniture; buyer terms in page text: store, brand, shop, online store, e-commerce",15,6,94,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: furniture, store, brand, shop; decision-maker found: Mark Jance (CEO / FOUNDER); ecommerce platform detected: woocommerce; buying signals: ecommerce_active; pain signals: customer_service_load",Mark Jance,CEO / FOUNDER,rbsinteriorsofficial@gmail.com,mx_valid,+923099777970,,customer_service_load: whatsapp us,"ecommerce_active: add to cart, shop now",based in Islamabad; sells online; runs on woocommerce; takes orders over WhatsApp/DM,overture,https://explore.overturemaps.org/#97b7acdd-417b-44d1-8b3e-43c0cf3b7b4c,2026-09-21T08:35:55+00:00,true,not_queued,,,,
lead_ec42b3cd11a6,retail-isb-001,Bata shoes,bata.pk,https://www.bata.com.pk/,Pakistan,Islamabad,GT Rd,overture=shoe_store,"Discover Bata – Pakistan's Favorite Footwear Brand and trusted destination for premium quality footwear, bags, and accessories for men, women, and children. Explore timeless designs, exceptional comfort, and nationwide delivery. Shop online or visit your nearest Bata store today.",BUYER,65,"discovery category 'overture=shoe_store' matches campaign target; buyer terms in company identity: store, brand, shop; buyer terms in page text: franchise",15,7,92,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, brand, shop, franchise; quality notes: website does not appear to belong to this company; ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale; held for review: website may belong to a different company",,,customercare.pk@bata.com,mx_valid,042-32761261,https://www.linkedin.com/company/batahomepk,,"ecommerce_active: add to cart, shop now; operations_scale: nationwide",based in Islamabad; sells online; operates multiple branches/outlets; runs on shopify,overture,https://explore.overturemaps.org/#da3438d5-f266-480f-91db-001f92a76855,2026-09-21T08:36:27+00:00,false,not_queued,,,,
lead_b77c5eb2b322,retail-isb-001,Madina Cash and Carry Saqib Mall,mcc.com.pk,http://mcc.com.pk/,Pakistan,Islamabad,"Saqib mall, opposite friend CNG, Main Chakri Road",overture=grocery_store,Skip to content info@mcc.com.pk Mon-Sun: 9:00 AM - 11:00 PM Home About Us Brands Career Branches For Suppliers Tenders Home About Us Brands Career Branches For Suppliers Tenders call A Leading Retailer Chain Of Groceries and General Merchandise Who Best Prices in Town MCC has always acted in the bes,BUYER,65,"discovery category 'overture=grocery_store' matches campaign target; buyer terms in company identity: retailer, brand; buyer terms in page text: retail, store, electronics, grocery",13,5,91,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: retailer, brand, retail, store; quality notes: no https; website does not appear to belong to this company; decision-maker found: Mr. Chaudary Mahmood Sangranh (founder); only a generic business mailbox is public; buying signals: hiring, operations_scale; held for review: website may belong to a different company",Mr. Chaudary Mahmood Sangranh,founder,info@mcc.com.pk,generic,+923419520072,https://www.linkedin.com/company/madina-cash-carry,,"hiring: vacancies, careers page exists; operations_scale: branches, warehouse",based in Islamabad; operates multiple branches/outlets; currently hiring,overture+osm,https://explore.overturemaps.org/#5cbbf087-4bd3-47e3-b0c7-6e38c6655f91,2026-09-21T08:37:07+00:00,false,email_1_sent,,,,
lead_07c79a1e6630,retail-isb-001,Vegas cosmetics,vegas.pk,https://www.vegas.pk/,Pakistan,Islamabad,"Shop No 1, Ground",overture=cosmetic_and_beauty_supplies,"Shop Makeup, Skincare, Hair, Perfumes, Lingerie / Undergarments & 1000,s of International Fashion & Beauty Brands in Pakistan. Everything is 100% Original with Money Back Guarantee",BUYER,65,"discovery category 'overture=cosmetic_and_beauty_supplies' matches campaign target; buyer terms in company identity: store, shop, fashion, cosmetics; buyer terms in page text: brand, outlet",15,6,88,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, fashion, cosmetics; only a generic business mailbox is public; buying signals: ecommerce_active, operations_scale; pain signals: delivery_issues",,,support@vegas.pk,generic,+92 51 8431075,,delivery_issues: order tracking,"ecommerce_active: add to cart, checkout; operations_scale: outlets",based in Islamabad; sells online; operates multiple branches/outlets,overture,https://explore.overturemaps.org/#85feb785-791c-4bf0-a8c3-c9439862c2ca,2026-09-21T08:35:07+00:00,true,not_queued,,,,
lead_52b4650250b1,retail-isb-001,Renome Interiors,renome.pk,https://renome.pk/,Pakistan,Islamabad,"Plot#26 Sector I-11/3,Islamabad",overture=furniture_store,"Discover premium furniture designs in Pakistan with Renome Furniture. Shop stylish beds, sofas, office tables, and outdoor furniture at affordable prices.",BUYER,65,"discovery category 'overture=furniture_store' matches campaign target; buyer terms in company identity: store, shop, furniture; buyer terms in page text: retail, brand",15,4,86,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, furniture, retail; only a generic business mailbox is public; ecommerce platform detected: woocommerce; buying signals: ecommerce_active",,,info@renome.pk,generic,+92 317 3569944,,,"ecommerce_active: add to cart, shop now",based in Islamabad; sells online; runs on woocommerce,overture,https://explore.overturemaps.org/#a1130b44-6434-4db5-8791-b4b45fb109ae,2026-09-21T08:36:58+00:00,true,not_queued,,,,
lead_58b0e71bc0d4,retail-isb-001,Glow Interiors,glowinteriors.design,https://www.glowinteriors.design/,Pakistan,Islamabad,"Ground Floor, Plaza, 45 Golra Rd",overture=furniture_store,"Luxury interior design, architecture, construction, furniture",BUYER,62,"discovery category 'overture=furniture_store' matches campaign target; vendor terms in company identity: consultancy; buyer terms in company identity: furniture; buyer terms in page text: brand, outlet, showroom; buyer evidence outweighs weaker vendor mentions",15,2,85,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: furniture, brand, outlet, showroom; minor vendor mentions present: get a quote; decision-maker found: Ismael Khattak (Former Chief Executive Officer); only a generic business mailbox is public; buying signals: operations_scale",Ismael Khattak,Former Chief Executive Officer,info@glowinteriors.design,generic,03173331290,,,operations_scale: across pakistan,based in Islamabad; operates multiple branches/outlets,overture,https://explore.overturemaps.org/#9dae6f81-a85b-4c18-bd6f-32ef735d33d4,2026-09-21T08:36:22+00:00,true,not_queued,,,,
lead_18344386e80d,retail-isb-001,V Surfaces,vsurfaces.com,https://www.vsurfaces.com/,Pakistan,Islamabad,"Service Road, beside Aura Grande Marquee",overture=furniture_store,"Shop your favourite Rugs | Furniture | Home Decor | Carpets and so much more! Available online nationwide and with stores in Islamabad, Rawalpindi, Wah Cantt, Multan & Karachi.",BUYER,62,"discovery category 'overture=furniture_store' matches campaign target; buyer terms in company identity: store, shop, furniture; buyer terms in page text: brand; buyer evidence outweighs weaker vendor mentions",15,4,84,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, furniture, brand; minor vendor mentions present: our clients; ecommerce platform detected: shopify; buying signals: ecommerce_active",,,ecom@vsurfaces.com,mx_valid,+92 300 2012022,,,ecommerce_active: shop now,based in Islamabad; sells online; runs on shopify,overture,https://explore.overturemaps.org/#09ce2a0b-5da5-4093-8cda-54f24b93e1bf,2026-09-21T08:35:12+00:00,true,not_queued,,,,
lead_793def73800a,retail-isb-001,METRO Islamabad Store,metro.pk,https://www.metro.pk/store-locator/islamabad?utm_source=bingmaps&utm_medium=organic&utm_content=website&utm_term=islamabad,Pakistan,Islamabad,"Plot 1-A, I-11/4, Laila Road, Adjacent Railway Carriage Factory",overture=grocery_store,METRO Cash&Carry Pakistan,BUYER,62,"discovery category 'overture=grocery_store' matches campaign target; buyer terms in company identity: store, shop; buyer terms in page text: brand, e-commerce; buyer evidence outweighs weaker vendor mentions",15,2,84,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, brand, e-commerce; minor vendor mentions present: for your business; buying signals: hiring",,,anjumhussain.shah@metro.pk,mx_valid,051-4020073,https://www.linkedin.com/company/metro-pakistan-pvt-limited,,hiring: careers,based in Islamabad; currently hiring,overture,https://explore.overturemaps.org/#d07562e5-06ba-404b-a642-2f7e53279dd5,2026-09-21T08:36:56+00:00,true,email_1_sent,,,,
lead_fb482dbac4e4,retail-isb-001,Denovo Furniture,denovofurniture.pk,https://denovofurniture.pk/,Pakistan,Islamabad,"Golra Rd, opposite CMT Gate",overture=furniture_store,"Shop Denovo Furniture for premium beds, sofas, wardrobes, etc in Pakistan. Elevate your home with our stylish, durable collections.",BUYER,65,"discovery category 'overture=furniture_store' matches campaign target; buyer terms in company identity: store, brand, shop, furniture",12,4,83,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, brand, shop, furniture; only a generic business mailbox is public; ecommerce platform detected: woocommerce; buying signals: ecommerce_active",,,admin@denovofurniture.pk,generic,+92 334 9426 220,,,"ecommerce_active: add to cart, free shipping",based in Islamabad; sells online; runs on woocommerce,overture,https://explore.overturemaps.org/#c2f239c8-d7a5-4736-92ef-51d0f64ccbef,2026-09-21T08:35:57+00:00,true,not_queued,,,,
lead_01ff66a633e3,retail-isb-001,Cell story,cellstory.pk,https://cellstory.pk/,Pakistan,Islamabad,"Shop# 04 Karsaaz tower, 2",overture=mobile_phone_store,"Cellstory.pk offers high-quality smartphone accessories at the best online rates in Pakistan, and they'll be delivered right to your doorstep. Cellstory.pk provides excellent mobile accessories on its e-store with free shipping to any city in Pakistan at the best price.",BUYER,60,"discovery category 'overture=mobile_phone_store' matches campaign target; buyer terms in company identity: store, brand; buyer terms in page text: shop",15,4,82,"in target country (Pakistan); in target city (Islamabad); 3 ICP term(s) matched: store, brand, shop; ecommerce platform detected: shopify; buying signals: ecommerce_active",,,cellstorypk@gmail.com,mx_valid,0334 8040600,,,"ecommerce_active: add to cart, shop now",based in Islamabad; sells online; runs on shopify,overture,https://explore.overturemaps.org/#43dab468-6cf9-4209-836a-d7f24972432a,2026-09-21T08:34:59+00:00,true,not_queued,,,,
