lead_id,campaign_id,company_name,domain,website,country,city,address,industry,company_description,company_type,buyer_fit_score,buyer_fit_reason,company_quality_score,buying_signal_score,total_score,score_reason,contact_name,contact_role,contact_email,email_status,phone,linkedin_or_public_profile_url,pain_signal,buying_signal,personalization_hook,source,source_url,scraped_at,outreach_ready,sequence_status,email_1_sent_at,followup_1_at,followup_2_at,reply_status
lead_bfdff788dea7,general-stores-marts-islamabad,Shabbir Keryana And Gernal Store,keryanastore.com,https://keryanastore.com/,Pakistan,F-6 Super Market,"C 1 Area, Karachi Liquatabad Town, Liquatabad Town",shop=general,"Keryana Store is an Online Grocery Store in Karachi, Pakistan, Pay Cash on Delivery, Free Grocery Delivery in Karachi, No Minimum Order, Shop Groceries Online in Karachi.",BUYER,55,"discovery category 'shop=general' matches campaign target; buyer terms in company identity: grocery store, grocery",15,9,83,"in target country (Pakistan); in target city (F-6 Super Market); 2 ICP term(s) matched: grocery store, grocery; only a generic business mailbox is public; mobile number published (owner-level contact); buying signals: hiring, ecommerce_active, operations_scale; pain signals: delivery_issues",,,support@keryanastore.com,generic,+92-337-7292926,https://www.linkedin.com/company/keryana-store-private-limited,delivery_issues: order tracking,"hiring: careers, careers page exists; ecommerce_active: add to cart, checkout; operations_scale: fleet",based in F-6 Super Market; sells online; operates multiple branches/outlets; currently hiring,osm+search,https://www.openstreetmap.org/node/12151763222,2026-09-26T13:30:03+00:00,true,not_queued,,,,
lead_b1fcd9b76c1e,general-stores-marts-islamabad,Yasir General Store۔ یاسر جنرل اسٹور,yasirelectronics.com,https://yasirelectronics.com/,Pakistan,F-6 Super Market,"Yasir randhwa tallaq chowk, C 1 Area C Area Liaquatabad Town, Karachi, Karachi",shop=general,"Learn about Yasir Electronics, your trusted source for top-quality electronic products in Pakistan.Discover our commitment to excellence,",BUYER,60,"discovery category 'shop=general' matches campaign target; buyer terms in company identity: general store; buyer terms in page text: grocery, convenience",15,4,81,"in target country (Pakistan); in target city (F-6 Super Market); 3 ICP term(s) matched: general store, grocery, convenience; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: woocommerce; buying signals: ecommerce_active",,,info@yasirelectronics.com,generic,+923368576084,,,ecommerce_active: add to cart,based in F-6 Super Market; sells online; runs on woocommerce,osm+search,https://www.openstreetmap.org/node/12151635263,2026-09-26T13:28:54+00:00,true,not_queued,,,,
lead_ae2a2e793696,general-stores-marts-islamabad,"METRO Safari Store, Karachi",metro.pk,https://www.metro.pk/store-locator,Pakistan,G-9 (Karachi Company),"190-219, OKEWARI, NA-Class, Main University Rd, near Safari Park",overture=grocery_store,"METRO Pakistan (Pvt) Limited is part of METRO GROUP’s sales division METRO Cash & Carry, the international leader in self-service wholesale.",BUYER,55,"discovery category 'overture=grocery_store' matches campaign target; buyer terms in page text: general store, convenience; buyer evidence outweighs weaker vendor mentions",15,2,78,"in target country (Pakistan); in target city (G-9 (Karachi Company)); 2 ICP term(s) matched: general store, convenience; minor vendor mentions present: for your business; intent match (92%): METRO Safari Store is a grocery retailer that manages inventory for small retailers, making order‑management software relevant.; mobile number published (owner-level contact); buying signals: hiring",,,anjumhussain.shah@metro.pk,mx_valid,0324-5000972,https://www.linkedin.com/company/metro-pakistan-pvt-limited,,hiring: careers,based in G-9 (Karachi Company); currently hiring,overture,https://explore.overturemaps.org/#7a4388a2-9d34-49d7-822b-b7c54ab0a00e,2026-09-26T13:26:12+00:00,true,not_queued,,,,
lead_a1910a078604,general-stores-marts-islamabad,Al Adam Rice and Pulses,adamricemills.com,https://adamricemills.com/,Pakistan,F-10 Markaz,Irfan Plaza,overture=grocery_store,"Leading 1121 Basmati Rice exporters from Pakistan. Premium Steam, Sella, White & Parboiled Rice for bulk orders and international buyers.",BUYER,45,"discovery category 'overture=grocery_store' matches campaign target; sells-to-businesses phrasing: our clients, trusted by, portfolio; buyer terms in page text: retail; buyer evidence outweighs weaker vendor mentions",15,6,76,"in target country (Pakistan); in target city (F-10 Markaz); 1 ICP term(s) matched: retail; minor vendor mentions present: our clients, trusted by, portfolio; decision-maker found: Moin-ud-Din (CEO); only a generic business mailbox is public; mobile number published (owner-level contact); buying signals: ecommerce_active, operations_scale; pain signals: customer_service_load",Moin-ud-Din,CEO,info@adamricemills.com,generic,+92) 3 111 125 135,https://linkedin.com/company/adam-international-rice-mills,customer_service_load: whatsapp us,"ecommerce_active: add to cart, shop now; operations_scale: branches, across pakistan",based in F-10 Markaz; sells online; operates multiple branches/outlets; takes orders over WhatsApp/DM,overture+search,https://explore.overturemaps.org/#35f2b121-43fe-4c2d-ae8b-3edeed4fd985,2026-09-26T13:28:17+00:00,true,not_queued,,,,
lead_d242adf3631e,general-stores-marts-islamabad,Alfatah Islamabad F11,alfatah.pk,https://alfatah.pk/,Pakistan,E-11,Aura Square in F11 Markaz,overture=grocery_store,"Al-Fatah is a leading departmental store chain in Pakistan serving since 1941. Al-Fatah is a One Stop Shop offering the widest range of assortment of products including Home Appliances, Electronics, Cosmetics, Clothing, Grocery, Fitness Equipment and Crockery all under one roof. Shop Imported Variety from Al-Fatah.",BUYER,50,discovery category 'overture=grocery_store' matches campaign target; vendor terms in page text: agency; buyer terms in company identity: grocery; buyer evidence outweighs weaker vendor mentions,15,6,73,"in target country (Pakistan); in target city (E-11); 1 ICP term(s) matched: grocery; minor vendor mentions present: agency; intent match (95%): Al‑Fatah is a large departmental store chain with grocery and general retail, needing inventory/order‑management systems.; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active; pain signals: delivery_issues",,,info@alfatah.pk,generic,0311-1555222,,delivery_issues: order tracking,ecommerce_active: checkout,based in E-11; sells online; runs on shopify,overture+search,https://explore.overturemaps.org/#42515890-f6e9-4973-bca2-560225e78de8,2026-09-26T13:30:14+00:00,true,not_queued,,,,
lead_6a21fba8479a,general-stores-marts-islamabad,Nafees jabbar,nafeesonline.com,https://nafeesonline.com/,Pakistan,F-6 Super Market,"C-1Area Liaquatabad Town,, Karachi",shop=general,about-us,BUYER,50,discovery category 'shop=general' matches campaign target; buyer terms in company identity: grocery,12,7,70,"in target country (Pakistan); in target city (F-6 Super Market); 1 ICP term(s) matched: grocery; intent match (92%): Nafees operates many branches selling baked goods, groceries, and household items, indicating a clear need for inventory and order‑management software.; mobile number published (owner-level contact); ecommerce platform detected: woocommerce; buying signals: hiring, operations_scale",,,,none,+92 348 8884692,,,hiring: careers; operations_scale: branches,based in F-6 Super Market; operates multiple branches/outlets; currently hiring; runs on woocommerce,osm+search,https://www.openstreetmap.org/node/12151476821,2026-09-26T13:28:42+00:00,false,not_queued,,,,
lead_c1043159d3f8,general-stores-marts-islamabad,Howmuch,howmuch.pk,https://www.howmuch.pk/,Pakistan,,,,Worried about your grocery? Don't be! Howmuch is the best online grocery store & delivery service in pakistan. Order your grocery products with free shipping NOW.,BUYER,50,"buyer terms in company identity: grocery store, retail, grocery",15,0,67,"in target country (Pakistan); 3 ICP term(s) matched: grocery store, retail, grocery; intent match (80%): Howmuch operates a grocery retail business and offers POS solutions, indicating a need for inventory and order‑management software.; only a generic business mailbox is public; mobile number published (owner-level contact)",,,info@howmuch.pk,generic,+92) 300 0551739,,,,,websearch,https://www.howmuch.pk/shops/sauda-sulf-f11/about,2026-09-26T13:26:09+00:00,false,not_queued,,,,
lead_a116f50f56f0,general-stores-marts-islamabad,Assany.pk (Assany Store Liaquatabad Chapter),assany.pk,https://assany.pk/,Pakistan,F-6 Super Market,"Shop # 2, Plot # 422, Near Erum Bakers, Liaquatabad. 4",overture=convenience_store,Shop By Popular Categories Customized Products (9) 9 products School Shoes (5) 5 products Accessories (55) 55 products Arts &,BUYER,46,discovery category 'overture=convenience_store' matches campaign target; vendor terms in page text: marketing services; buyer terms in page text: convenience; buyer evidence outweighs weaker vendor mentions,10,7,65,"in target country (Pakistan); in target city (F-6 Super Market); 1 ICP term(s) matched: convenience; minor vendor mentions present: marketing services; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: woocommerce; buying signals: ecommerce_active, operations_scale",,,info@assany.pk,generic,+92 333 9278696,,,"ecommerce_active: add to cart, shop now; operations_scale: across pakistan",based in F-6 Super Market; sells online; operates multiple branches/outlets; runs on woocommerce,overture,https://explore.overturemaps.org/#b69dc418-8d75-4a86-a2e2-d190838d8338,2026-09-26T13:26:50+00:00,false,not_queued,,,,
lead_195c8930645e,general-stores-marts-islamabad,Rahat General Store,rahatmarket.az,https://rahatmarket.az/az/index,Pakistan,F-6 Super Market,"Liaquatabad, Karachi",shop=supermarket,"Azərbaycan, Bakı, Bülbül pr. 65 C *5551 Haqqımızda Rahat Market Haqqında Port Baku Bazar Haqqında Aksiyalar Rahat Market Port Baku Bazar Müştərilər Müştəri Hüquqları İrad və təkliflər Məmnuniyyət Anketi Ən çox verilən suallar Filiallar Media Mərkəzi Xəbərlər Kiv üçün Vakansiyalar az ru en Brendlərim",BUYER,55,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: general store, supermarket",6,0,61,"in target country (Pakistan); in target city (F-6 Super Market); 2 ICP term(s) matched: general store, supermarket; quality notes: single-page site; no public contact details; site copyright 2019: possibly unmaintained; no usable email",,,,none,,,,,based in F-6 Super Market,osm+search,https://www.openstreetmap.org/node/5124262196,2026-09-26T13:29:20+00:00,false,not_queued,,,,
lead_0eac4c2c1cbc,general-stores-marts-islamabad,Berio Convenience stores,worldplaces.me,https://www.worldplaces.me,Pakistan,F-10 Markaz,"City Plaza, Beside Maroof Hospital F-10",overture=grocery_store,WorldPlaces My Places Latest Reviews and Complaints ★ ★ ★ ★ ★ McDonald In William Moffett - Very disappointed regular customer Disappointed in what we got today.ordered Large Loaded fries and it looked like a small when it arrived.Mcdonalds william moffat. Today was not cool at all. Read more 22 hou,BUYER,50,discovery category 'overture=grocery_store' matches campaign target; buyer terms in company identity: convenience,10,0,60,"in target country (Pakistan); in target city (F-10 Markaz); 1 ICP term(s) matched: convenience; quality notes: no public contact details; website does not appear to belong to this company; intent match (95%): Berio Convenience stores is a grocery store, needing inventory and order‑management software for its operations.; no usable email",,,,none,+92512222816,,,,based in F-10 Markaz,overture+search,https://explore.overturemaps.org/#7eb9d49f-083f-47bf-81d2-dbe9f2da88e8,2026-09-26T13:28:06+00:00,false,not_queued,,,,
